Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/dashboard/today,77,0,13,15.489856090661979,5.432416997791734,36.56516600312898,240.75324675324674,1.3057974509809551,0.0,13,16,18,21,30,34,36,37,37,37,37
GET,GET /api/food/logs?date=[past],15,0,14,16.590863799501676,6.405667001672555,33.21908299403731,17.066666666666666,0.25437612681447175,0.0,14,14,20,29,31,33,33,33,33,33,33
GET,GET /api/food/logs?date=[today],75,0,12,14.304635013492467,5.6987909993040375,34.14366600190988,214.57333333333332,1.2718806340723587,0.0,12,14,15,17,29,32,32,34,34,34,34
GET,GET /api/food/search,20,0,11,11.715643799834652,5.928541002504062,17.68116599851055,21.9,0.33916816908596237,0.0,11,13,14,14,17,18,18,18,18,18,18
GET,GET /api/onboarding/profile,29,0,12,13.301083207399392,4.879875006736256,31.231332999595907,659.0689655172414,0.4917938451746454,0.0,12,15,16,17,20,27,31,31,31,31,31
GET,GET /api/subscriptions/current,13,0,12,16.687048153611475,6.211125000845641,35.514083996531554,135.3846153846154,0.22045930990587553,0.0,12,16,18,30,31,36,36,36,36,36,36
GET,GET /auth/me,16,0,9,12.65264325093085,6.735832997947,32.892333998461254,221.9375,0.2713345352687699,0.0,12,13,17,17,21,33,33,33,33,33,33
GET,GET /foods/,11,0,15,20.28603790809443,8.08866699662758,68.5466670038295,4657.363636363636,0.1865424929972793,0.0,15,16,16,16,29,69,69,69,69,69,69
GET,GET /meals/summary,9,2,16,16.9540047791088,7.95920800010208,32.30691699718591,200.22222222222223,0.15262567608868305,0.033916816908596235,16,17,18,20,32,32,32,32,32,32,32
GET,GET /nutrition-profile/,7,7,13,13.368488286297568,9.603209000488278,17.83525000064401,59.0,0.11870885918008682,0.11870885918008682,13,14,18,18,18,18,18,18,18,18,18
POST,POST /api/food/manual,46,0,16,18.737440239340724,9.922958000970539,39.66137499810429,209.2173913043478,0.7800867888977134,0.0,16,19,20,21,32,33,40,40,40,40,40
POST,POST /api/food/water,17,4,16,17.193132528679115,9.314167000411544,29.074333004246,18.705882352941178,0.288292943723068,0.06783363381719247,16,19,21,22,23,29,29,29,29,29,29
POST,POST /api/onboarding/save-step,13,0,16,16.850326847746217,11.738458000763785,26.22229100234108,655.4615384615385,0.22045930990587553,0.0,16,17,18,18,22,26,26,26,26,26,26
POST,POST /auth/login,100,25,130.0,127.67016375015373,94.96620800200617,155.18995900492882,323.47,1.6958408454298117,0.42396021135745293,130,140,140,140,150,150,150,160,160,160,160
POST,POST /auth/register,3,0,33,39.77455599912597,29.27616699889768,57.372292001673486,228.66666666666666,0.05087522536289435,0.0,33,33,57,57,57,57,57,57,57,57,57
,Aggregated,451,38,16,40.53826914200515,4.879875006736256,155.18995900492882,365.16851441241687,7.648242212888451,0.6444195212633285,16,21,33,97,130,140,150,150,160,160,160
